student_id,name,archetype,confidence_score,risk_level,days_to_burnout_est,last_mood,avg_mood_7d,avg_stress_7d,avg_sleep_7d,mood_slope_7d,trend,alert_counselor
1,Aarav,gradual_burnout,0.4977,LOW,,2.75,3.19,8.02,5.23,-0.1861,declining,False
2,Priya,gradual_burnout,0.4977,LOW,,1.86,2.64,8.4,5.2,-0.2664,declining,False
3,Rohit,gradual_burnout,0.4977,LOW,,2.68,3.04,8.14,5.47,-0.1889,declining,False
4,Sneha,gradual_burnout,0.4977,LOW,,1.97,2.61,8.32,4.94,-0.1325,declining,False
5,Arjun,gradual_burnout,0.4977,LOW,,1.84,2.76,8.15,4.93,-0.3754,declining,False
6,Kavya,gradual_burnout,0.4977,LOW,,2.67,3.43,8.02,5.49,-0.0696,declining,False
7,Vikram,gradual_burnout,0.4977,LOW,,2.81,3.25,8.29,5.19,-0.0618,declining,False
8,Ananya,gradual_burnout,0.4977,LOW,,2.54,3.21,7.68,5.36,-0.3111,declining,False
9,Rahul,gradual_burnout,0.4977,LOW,,1.39,2.53,8.42,4.79,-0.1504,declining,False
10,Divya,gradual_burnout,0.4977,LOW,,3.48,3.29,7.39,5.76,-0.1579,declining,False
11,Kiran,gradual_burnout,0.4977,LOW,,2.54,3.24,8.14,5.29,-0.3939,declining,False
12,Meera,gradual_burnout,0.4977,LOW,,1.83,2.17,9.11,4.99,-0.2593,declining,False
13,Siddharth,gradual_burnout,0.4977,LOW,,2.06,2.28,9.03,4.74,-0.0829,declining,False
14,Pooja,gradual_burnout,0.4977,LOW,,2.23,2.74,7.81,5.19,-0.1943,declining,False
15,Aditya,gradual_burnout,0.4977,LOW,,2.34,2.95,7.92,5.34,-0.1832,declining,False
16,Riya,gradual_burnout,0.4977,LOW,,1.41,2.63,8.3,4.76,-0.4921,declining,False
17,Nikhil,gradual_burnout,0.4977,LOW,,2.54,2.9,8.11,5.31,-0.2289,declining,False
18,Shruti,gradual_burnout,0.4977,LOW,,3.14,2.6,8.64,5.24,0.0354,stable,False
19,Varun,gradual_burnout,0.4977,LOW,,1.62,2.77,8.2,5.26,-0.3211,declining,False
20,Lakshmi,gradual_burnout,0.4977,LOW,,2.33,2.72,8.2,5.39,-0.0332,stable,False
21,Amit,mid_crash,0.4977,LOW,,3.18,3.05,8.18,5.0,0.0871,improving,False
22,Nisha,mid_crash,0.4977,LOW,,1.94,3.26,7.79,5.33,-0.1611,declining,False
23,Suresh,mid_crash,0.4977,LOW,,1.89,2.88,8.05,5.37,-0.0461,stable,False
24,Geeta,mid_crash,0.4977,LOW,,3.72,3.15,7.64,5.46,0.1271,improving,False
25,Rajesh,mid_crash,0.4977,LOW,,2.65,2.94,7.85,5.44,-0.1204,declining,False
26,Sona,mid_crash,0.4977,LOW,,3.6,2.98,7.43,5.39,0.2479,improving,False
27,Deepak,mid_crash,0.4977,LOW,,2.47,3.13,7.78,5.23,-0.0625,declining,False
28,Swati,mid_crash,0.4977,LOW,,2.4,2.83,7.64,5.4,-0.0043,stable,False
29,Harish,mid_crash,0.4977,LOW,,2.82,3.14,7.74,5.06,-0.0768,declining,False
30,Jyoti,mid_crash,0.4977,LOW,,4.14,2.68,8.07,5.14,0.1871,improving,False
31,Manish,resilient,0.4977,LOW,14.0,7.19,6.64,4.41,7.54,-0.0886,declining,False
32,Rekha,resilient,0.4977,LOW,10.0,6.04,6.7,3.74,7.44,-0.2368,declining,False
33,Vivek,resilient,0.4977,LOW,14.0,6.96,7.0,4.29,7.54,-0.1282,declining,False
34,Uma,resilient,0.4977,LOW,14.0,6.4,6.61,4.24,7.49,-0.1414,declining,False
35,Pankaj,resilient,0.4977,LOW,14.0,6.54,7.02,4.05,7.53,-0.1786,declining,False
36,Seema,resilient,0.4977,LOW,,6.86,6.59,4.26,7.73,-0.0443,stable,False
37,Dinesh,resilient,0.4977,LOW,,5.87,6.78,3.79,7.77,-0.0407,stable,False
38,Leela,resilient,0.4977,LOW,14.0,6.75,6.69,4.21,7.5,-0.155,declining,False
39,Girish,early_burnout,0.4977,LOW,,2.12,2.32,8.3,4.81,-0.0443,stable,False
40,Mala,early_burnout,0.4977,LOW,,2.62,2.46,8.57,5.33,-0.0164,stable,False
41,Ajay,early_burnout,0.4977,LOW,,2.35,2.15,8.76,5.0,0.0332,stable,False
42,Asha,early_burnout,0.4977,LOW,,2.98,2.48,8.65,5.07,0.0289,stable,False
43,Vijay,early_burnout,0.4977,LOW,,1.87,1.99,8.9,4.13,-0.075,declining,False
44,Radha,early_burnout,0.4977,LOW,,3.43,2.77,7.68,5.13,0.0154,stable,False
45,Sachin,early_burnout,0.4977,LOW,,1.85,2.68,8.08,5.1,-0.2354,declining,False
46,Sunita,late_burnout,0.4977,LOW,,1.0,3.52,7.28,5.87,-0.9068,declining,False
47,Ramesh,late_burnout,0.4977,LOW,,1.0,3.74,6.58,5.47,-0.9311,declining,False
48,Veena,late_burnout,0.4977,LOW,,1.0,3.52,7.58,5.67,-0.8264,declining,False
49,Naresh,late_burnout,0.4977,LOW,,1.0,3.92,6.95,5.87,-1.0279,declining,False
50,Shanti,late_burnout,0.4977,LOW,,1.0,3.5,7.49,5.41,-0.915,declining,False
